Part,PartDesc,Price,Status
S3031800,"FIBERGLASS PIPE, ""D"" SECTION, MAST ANTENNA",$471,OUT OF STOCK
S3031900,"ASSEMBLY,  SKIRT D SECTION",$101,OUT OF STOCK
S3178100,"ASSEMBLY,  TUNING  RING FIB2.25X4.50",$74,OUT OF STOCK
S3198600,FAB COILFORM TUN RING 6.6X4,$133,OUT OF STOCK
S3198900,"ASSEMBLY,  FBRGLS COILFORM PC10/30 :10",$277,OUT OF STOCK
S3199500,ASSEMBLY COIL FORM TUN PC1000H,$163,OUT OF STOCK
S3350600,TUBE 2.5OD X2.375 ID 36 FBR GL G3,$229,OUT OF STOCK
S3400100,FAB PC1KILO COIL FORM,$614,OUT OF STOCK
S3518100,"FAB SHFT FIB 11"" PC1000C",$6,OUT OF STOCK
S3518101,"SHAFT, TUNING PC1000C/2",$20,OUT OF STOCK
S3559200,FAB COIL TUNE DS SER,$49,OUT OF STOCK
S3568800,"ASSEMBLY,  FAB FBRGLS COILFORM PC1000CT",$163,OUT OF STOCK
S3595900,"ASSEMBLY,  FIBERGLASS COILFORM PC10C",$294,OUT OF STOCK
S3656700,FAB COIL FORM TUN PC1KILO USCG,$523,OUT OF STOCK
S6090000,PIPE CLAMP (PAIR),$175,OUT OF STOCK
SLA10001,"ASSY, CONTROL SOFTWARE SD",$1824,OUT OF STOCK
SLB67801,"PALLET, 32"" X 32"" (PLYWOOD)",$150,OUT OF STOCK
SLD12011,"MODIFICATION, DS410 COUPLER (PAINTING OF SLE12001 GRAY)",$1550,OUT OF STOCK
SLD21050,ASSY DET CONN CD 22 W/MTG HLS,$225,OUT OF STOCK
SLD31230,CAP 312M,$63,OUT OF STOCK
SLD32550,ASSEMBLY; FLOOR FLG OB2 LGHT KI,$31,OUT OF STOCK
SLD34750,"PLATE, BEACON SYM T",$348,OUT OF STOCK
SLD38190,"ASSEMBLY,  PVC ENCL FOR LOW FREQ EXT FOR SCARAB",$103,OUT OF STOCK
SLD40200,FAB COVER VENT PC-1KILO,$139,OUT OF STOCK
SLD40270,"MODIFICATION, FAB PC1KW INS PYREX BOWL",$119,OUT OF STOCK
SLD40320,FAB CAP INSUL PC1KW,$30,OUT OF STOCK
SLD40470,"ASSEMBLY,  ANTI-ICE INSUL CAP",$87,OUT OF STOCK
SLD40490,"ASSEMBLY,  ANTI-ICE DNLD INSUL SHLD",$213,OUT OF STOCK
SLD40720,"ASSEMBLY,  ANTI-ICE INSUL BAF BSHG",$15,OUT OF STOCK
SLD40830,"ASSEMBLY,  FAB ANTI-ICE CONT BOX",$253,OUT OF STOCK
SLD40840,"ASSEMBLY,  BRTHR J BOX",$49,OUT OF STOCK
SLD43680,FAB SP 4 HOLE :10,$33,OUT OF STOCK
SLD44940,INSULATED TOWER SECTION 25G W/O INSULATORS,$1155,OUT OF STOCK
SLD46330,INSULATED TOWER SECTION 45G W/O INSULATORS,$1,OUT OF STOCK
SLD51830,FAB TUNING SHAFT BEARING,$5,OUT OF STOCK
SLD62260,"ASSEMBLY, SFT LOCK 3/8IN",$19,OUT OF STOCK
SLD64880,"ASSEMBLY,  FAB WSHR HALF 3/8"" PC1KILO",$7,OUT OF STOCK
SLD65910,FAB DET BOX EMI FLTR MDL UK,$351,OUT OF STOCK
SLD70002,"WIRE, 12 AWG COPPERWELD , 700' COIL",$450,OUT OF STOCK
SLE00950,"ASSEMBLY, TRANSFORMER T1 PWB61,87,142",$18,OUT OF STOCK
SLE03130,"ASSEMBLY, COIL LOADING B SECT",$618,OUT OF STOCK
SLE04380,"ASSEMBLY, TRANSFORMER, VSWR T3 FLTR Q1 6T",$1340,OUT OF STOCK
SLE04390,ASSEMBLY TRANSFORMER T2 FILTER Q1 45T SSK/H,$13,OUT OF STOCK
SLE04400,"ASSEMBLY, TRANSFORMER, METER",$380,OUT OF STOCK
SLE04550,"ASSEMBLY, TRANSFORMER, IMPEDANCE MATCHING",$650,OUT OF STOCK
SLE05004,"ASSEMBLY, DRAWER, 110V/ 220V SINGLE PHASE LC / BTRY CRG",$3976,OUT OF STOCK
SLE05035,"ASSEMBLY, FREQUENCY KIT, 190 TO 535 KHZ",$2640,OUT OF STOCK
SLE05049,"ASSEMBLY, EMI FILTER SA 25-100 SINGLE",$719,OUT OF STOCK
SLE05050,"ASSEMBLY, POWER SUPPLY SE500/SC500",$3760,5 In Stock
SLE05052,"ASSEMBLY, POWER SUPPLY SE1000",$2280,OUT OF STOCK
SLE06050,"ASSEMBLY, TRANSMITTER DRAWER, SC200 DGPS",$4602,OUT OF STOCK
SLE06052,"ASSEMBLY, DRAWER, TRANSFER/CONTROL, (RSIM)  SC200",$9253,OUT OF STOCK
SLE06054,"ASSEMBLY, MEMBRANE PANEL WITH LCD",$3166,OUT OF STOCK
SLE06500,"ASSEMBLY, TRANSFORMER FINAL STAGE 500H/800A",$635,OUT OF STOCK
SLE06620,"ASSEMBLY, TUNING RING PC1000C2 &C3 /30",$350,OUT OF STOCK
SLE07200,"ASSEMBLY, CAP 13200 PF",$99,OUT OF STOCK
SLE07612,"ASSEMBLY, TUNING COIL, PC1000H/2  & H/3",$1976,OUT OF STOCK
SLE07800,"ASSEMBLY, CONTROL PANEL PC1000/C3",$2975,OUT OF STOCK
SLE08370,"ASSEMBLY, COIL, TUNING RING",$92,OUT OF STOCK
SLE10012,"OBSOLETE ASSEMBLY,  REMOTE CONTROL MONITOR",$2552,OUT OF STOCK
SLE10051,"ASSEMBLY, RF POWER AMPLIFIER MODULE 250 W",$5632,OUT OF STOCK
SLE100SA,"ASSEMBLY, 25-100 WATT SA TRANSMITTER DRAWER, ALL FREQ.",$5310,OUT OF STOCK
SLE11001,"ASSEMBLY,  110V/220V LOAD CENTER/BATTERY CHARGER",$5090,OUT OF STOCK
SLE12001,"ASSEMBLY, DS410 COUPLER",$1950,OUT OF STOCK
SLE12750,"ASSEMBLY, TRANSFORMER, T1 AND T2, KILO MTR",$48,OUT OF STOCK
SLE12970,"ASSEMBLY, TRANSFORMER 16T BIFILIAR 4HW",$62,OUT OF STOCK
SLE19320,"ASSEMBLY, TUNING COIL, PC .5 KILO",$2337,OUT OF STOCK
SLE19870,"ASSEMBLY, TUNING RING PC-.5KILO",$220,OUT OF STOCK
SLE19980,"ASSEMBLY,  INDTR 8T L1 Z BOX",$22,OUT OF STOCK
SLE20206,"ASSEMBLY, TUNING MOTOR",$582,OUT OF STOCK
SLE20207,"ASSEMBLY, ""L"" MATCH 1K/3K ATU",$10740,OUT OF STOCK
SLE20220,"ASSEMBLY, TUNING COIL 1KILO (LEFT)",$8150,OUT OF STOCK
SLE20221,"ASSEMBLY, TUNING COIL 1KILO (RIGHT)",$6750,OUT OF STOCK
SLE20400,"ASSEMBLY, TRANSFORMER, IMPD., 1KILO (BARREL)",$697,OUT OF STOCK
SLE20530,"ASSEMBLY,  IDCTR 14T L2 Z BOX",$22,OUT OF STOCK
SLE24000,"ASSEMBLY, CONTROL PANEL (DGPS)",$3371,OUT OF STOCK
SLE25371,"ASSEMBLY, TUNING COIL PC-1000M / IP66",$1976,OUT OF STOCK
SLE25372,"ASSEMBLY, TUNING COIL PC1000 M/2-M/3",$1976,OUT OF STOCK
SLE29900,"ASSEMBLY, POWER SUPPLY  SA  SERIES",$2825,OUT OF STOCK
SLE31020,"ASSEMBLY,  LTNG PROTR PC",$686,OUT OF STOCK
SLE31490,"ASSEMBLY,  TRANSFORMER IMPD KILO",$615,OUT OF STOCK
SLE32540,"ASSEMBLY, COIL KILO ANT CUR SENSE",$145,OUT OF STOCK
SLE33010,"ASSEMBLY, SE DUAL MASTER CONTROL PANEL W/LCD",$3480,OUT OF STOCK
SLE33011,"ASSEMBLY, SE SINGLE MASTER CONTROL PANEL WITH LCD",$3480,OUT OF STOCK
SLE33012,"ASSEMBLY, SE DUAL MASTER CONTROL PANEL (TX W/O ENCLOSURE)",$3450,OUT OF STOCK
SLE33013,"ASSEMBLY, SE DUAL MASTER CONTROL PANEL W/LCD W/O PCB",$1588,OUT OF STOCK
SLE33064,"ASSEMBLY, FILTER INDUCTOR 37T STD BAND",$80,126 In Stock
SLE33088,"ASSEMBLY REMOTE STATUS UNIT, SE CONSOLE MOUNT (DUAL)",$3450,OUT OF STOCK
SLE33089,"ASSEMBLY, REMOTE CONTROL UNIT, SE SINGLE",$2980,OUT OF STOCK
SLE33090,"ASSEMBLY, REMOTE CONTROL UNIT, SE DUAL",$4100,OUT OF STOCK
SLE33092,"ASSEMBLY, MASTER CONTROL PCB & NETBUNER FOR FCN SD633042",$2100,OUT OF STOCK
SLE33094,"ASSEMBLY, SURGE SUPPRESSOR DOUBLE",$45,1 In Stock
SLE33103,"ASSEMBLY,  REMOTE CONTROL PANEL SE SINGLE, DESKTOP GRAY",$3350,OUT OF STOCK
SLE33104,"ASSEMBLY,  REMOTE CONTROL PANEL SE DUAL, DESKTOP GRAY",$3350,OUT OF STOCK
SLE33105,"ASSEMBLY,  REMOTE CONTROL PANEL SE SINGLE, DESKTOP BLACK",$3350,OUT OF STOCK
SLE33106,"ASSEMBLY,  REMOTE CONTROL PANEL SE DUAL, DESKTOP BLACK",$3350,OUT OF STOCK
SLE33110,"ASSEMBLY, SURGE SUPPRESSOR, 275V AC DOUBLE",$417,OUT OF STOCK
SLE33111,"ASSEMBLY, SURGE SUPPRESSOR, 36V DC DOUBLE",$615,OUT OF STOCK
SLE33200,"ASSEMBLY, TRANSMITTER DRAWER SE125 SERIES",$3800,OUT OF STOCK
SLE33207,"ASSEMBLY, POWER SUPPLY SE125IP (FIELD REPLACEMENT)",$779,OUT OF STOCK
SLE33400,ASSEMBLY; CAPACITOR CE SE125,$74,OUT OF STOCK
SLE33500,"ASSEMBLY, LIQUID CRYSTAL DISPLAY MODULE",$535,OUT OF STOCK
SLE34710,"ASSEMBLY,  REMOTE PANEL RSC10,RSC20",$4950,OUT OF STOCK
SLE35006,ASSEMBLY;  COMBINER,$2918,OUT OF STOCK
SLE35680,"ASSEMBLY,  AUTOTUNE BRACKET PC3000",$617,OUT OF STOCK
SLE35720,"ASSEMBLY, MOTOR, ALL COUPLERS C2,C3,C4,D4",$701,OUT OF STOCK
SLE35730,"ASSEMBLY, MOTOR, TURNING PC1000/C2",$587,OUT OF STOCK
SLE35910,"ASSEMBLY, AUTOTUNE  BRACKET PC.5KILO",$775,OUT OF STOCK
SLE35920,"ASSEMBLY, CONT PANEL PC-.5KILO",$1159,OUT OF STOCK
SLE38330,"ASSEMBLY,  TRANSFORMER SCARAB :80",$499,OUT OF STOCK
SLE39650,OBSOLETE OBSTN LGT KIT-50 MAST W/COND,$5816,OUT OF STOCK
SLE39870,"ASSEMBLY,  PHOTOCELL KIT 110V",$202,OUT OF STOCK
SLE40040,"ASSEMBLY, PC 1KILO TUNING RING",$393,OUT OF STOCK
SLE40380,"ASSEMBLY, COIL KILO ANT CUR SENSE",$725,OUT OF STOCK
SLE40760,"ASSEMBLY,  ANTI-ICE HORIZ INSULATOR",$1492,OUT OF STOCK
SLE40860,"ASEMBLY,  ANTI-ICE CONT BOX .B",$409,OUT OF STOCK
SLE40870,"ANTI-ICE INSULATOR SYSTEM, 2 OVERHEAD",$5510,OUT OF STOCK
SLE43001,"ASSEMBLY,  RF TRANSFORMER SE SPA 125W",$343,78 In Stock
SLE45000,"ASSEMBLY, SPA MODULE 125 WATT",$3115,OUT OF STOCK
SLE45100,"ASSEMBLY, POWER CONTROL MODULATOR MODULE SE125",$3499,OUT OF STOCK
SLE45200,"ASSEMBLY, FILTER BRIDGE MODULE STD BAND",$2419,9 In Stock
SLE45210,"ASSEMBLY, FILTER BRIDGE MODULE M BAND",$2115,OUT OF STOCK
SLE45220,"ASSEMBLY, FILTER BRIDGE MODULE H BAND",$2115,OUT OF STOCK
SLE45400,"ASSEMBLY, LOW VOLTAGE POWER SUPPLY MODULE 125 WATT",$2570,OUT OF STOCK
SLE45650,"ASSEMBLY, SPA IMPEDANCE TRANSFORMER",$284,OUT OF STOCK
SLE45680,"ASSEMBLY, COIL SPA FILTER",$39,OUT OF STOCK
SLE45690,"ASSEMBLY, COIL SPA FILTER",$145,OUT OF STOCK
SLE45700,"ASSEMBLY, COIL SPA FILTER",$148,OUT OF STOCK
SLE45710,"ASSEMBLY, COIL SPA FILTER, 18T",$46,OUT OF STOCK
SLE46000,"ASSEMBLY, SPA SE125  RACK MOUNT",$1948,OUT OF STOCK
SLE46100,"ASSEMBLY, POWER CONTROL MODULATOR MODULE SE250/500/1000",$2044,2 In Stock
SLE46200,"ASSEMBLY, FILTER BRIDGE MODULE STD BAND SE125/250/500 RM",$1796,OUT OF STOCK
SLE46210,"ASSEMBLY, FILTER BRIDGE MODULE M BAND SE250W",$1796,OUT OF STOCK
SLE46220,"ASSEMBLY, FILTER BRIDGE MODULE H BAND SE250W",$1796,OUT OF STOCK
SLE46400,"ASSEMBLY, LOW VOLTAGE POWER SUPPLY MODULE 250 WATT",$2161,OUT OF STOCK
SLE47400,"ASSEMBLY, LOW VOLTAGE POWER SUPPLY MODULE125 RACK MOUNT",$1942,OUT OF STOCK
SLE48000,"ASSEMBLY, SPA MODULE SE250",$1956,OUT OF STOCK
SLE48100,"ASSEMBLY, POWER CONTROL MODULATOR MODULE 125 RACK MOUNT",$1859,OUT OF STOCK
SLE48200,"ASSEMBLY, FILTER/BRIDGE MODULE SE1000",$2300,OUT OF STOCK
SLE49000,"ASSEMBLY, SPA/PCM",$2918,OUT OF STOCK
SLE49570,"ASSEMBLY,  IDCTR SA MULTI RF 17 PRI 12 SEC",$59,OUT OF STOCK
SLE50200,"ASSEMBLY, 1K RESISTOR, SPADE",$7,OUT OF STOCK
SLE50390,"ASSEMBLY,  COIL SPA FILTER",$16,OUT OF STOCK
SLE50400,"ASSEMBLY,  COIL SPA FILTER",$24,OUT OF STOCK
SLE50410,"ASSEMBLY,  COIL SPA FILTER",$24,OUT OF STOCK
SLE50420,"ASSEMBLY,  COIL SPA FILTER",$17,OUT OF STOCK
SLE50510,"ASSEMBLY,  DET CRS TAPS SEL LEAD",$57,OUT OF STOCK
SLE50520,"ASSEMBLY,  DET CRS TAPS TEST LEAD",$20,OUT OF STOCK
SLE51890,"ASSEMBLY, TRANSFORMER, IMPEDANCE MATCHING",$1555,OUT OF STOCK
SLE51892,"ASSEMBLY, TRANSFORMER, IMPEDANCE MATCHING PC1000C/2",$625,OUT OF STOCK
SLE51893,"ASSEMBLY, TRANSFORMER, IMPEDANCE MATCHING PC1000H/2",$456,OUT OF STOCK
SLE52120,"ASSEMBLY,  TRANSFORMER OUT DS SER",$192,OUT OF STOCK
SLE53520,"ASSEMBLY,  TRANSFORMER 16T SPA 250W",$100,OUT OF STOCK
SLE53530,ASSEMBLY; RF VOLTAGE SENSING TRANSFORMER,$110,OUT OF STOCK
SLE54070,"ASSEMBLY,  COIL LDG DS410 ANT",$407,OUT OF STOCK
